thresh: False secondary: True memory: 0,0 last: 0, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
thresh: False secondary: True memory: 0,0 last: 80, cooled: 0 
